"(Back up)「大眾對社會企業定義的看法」調查 ""General public's view on definition of social enterprise"" survey  (回應)","1. 您聽過「社會企業」這個詞嗎？ Have you ever heard of the term “social enterprise”?","2. 您能提供一些社會企業的例子嗎？ Could you provide some of the examples of social enterprises?","3. 您認為現時社會企業的宣傳足夠嗎？ Do you think the current publicity of social enterprises is enough?","4. 您認為您對社會企業的定義有充分的了解嗎？ Do you think you comprehend the definition of social enterprise in its entirety?","5. 你有沒有曾經在任何一間社會企業消費？ Have you ever made a purchase in a social enterprise?","6. 您認為在社企消費等於幫助社會嗎？ Do you agree that buying from social enterprises will help society?","7. 你認為社會企業應該把多少比例的企業淨利潤作為股東分紅？ What proportion of corporate net profits do you think social enterprises should pay out as dividends to shareholders?","8. 你認為社會企業應該擁有多少比例的資金來至其商業模式而不是其他基金或資助？ What proportion of capital do you think social enterprises should have come from their business model as opposed to other funds or grants?","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [a. 為有特殊教育需要兒童提供專業訓練 Provide professional training for children with special educational needs]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [b. 讓社會弱勢社群共同參與足球活動，創造共融社會 Allow disadvantaged groups in society to participate in football activities and create an inclusive society]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [c. 為有需要的人士提供可靠的聽力檢驗結果  Provide reliable hearing test results to those in need]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [d. 提供個別關懷，全面照顧和復康運動 Provide individual care, comprehensive care and rehabilitative exercise]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [e. 改善長者身體平衡，防止跌倒受傷 Improve the body balance of the elderly and prevent falls and injuries]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [f. 推動長者及其家人建立身心靈全人健康狀態 Promote the elderly and their families to establish a healthy state of body, mind and spirit]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [g. 促進正面發展並灌輸正確價值觀給幼稚園到大學的學生 Promote positive development and instill the right values ​​in students from kindergarten to university]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [h. 向富有才華的青年人提供表演平台 Provide performance platform to talented young people]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [i. 以中式酒樓業務為弱勢婦女的提供工作及培訓機會 Providing job and training opportunities for disadvantaged women through Chinese restaurant business]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [j. 支持本地生產及生態種植 Support local production and ecological planting]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [k. 推廣素食文化，建立健康社區 Promote vegetarian culture and build healthy communities]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [l. 利用健身室或提供瑜伽班推廣全民健康 Use fitness studios or provide yoga classes to promote universal health]","10. 您認為在香港創辦社會企業必須符合下列哪一項要求？ Which of the following requirement(s) do you think have to fulfill for starting a social enterprise in Hong Kong?","11. 您認為在香港開設社會企業需要有關牌照或者認證嗎？ Do you think licensing or a certificate is required to start a social enterprise in Hong Kong?","12. 據你所知，現時有沒有特定法例規管社會企業嗎？ Do you think there is any specific legislations currently regulating social enterprises?","13. 您認為誰可以在香港創辦社會企業？(可選擇多項） Who(s) can launch a social enterprise in Hong Kong?","您的年齡 Your age group","您的教育水平  Your education level","您的收入水平(每月) Your income level (Per month)","你是從哪裡得知此問卷？ Where did you receive this questionnaire?","推薦人名稱 Recommender name"
2024年11月11日 下午03:20:16,是 Yes,S330,否 No,是 Yes,是 Yes,是 Yes,½,80% - 100%,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",否 No,是 Yes,非政府組織/非牟利組織 NGOs/NPOs,51-64 歳 51-64 years old,專上教育 (非學位／副學位課程) Higher education (Non-degree/Sub-degree programmes),$20000 - $39999,What apps,
2024年11月11日 下午03:32:15,是 Yes,銀杏館,否 No,否 No,否 No,是 Yes,⅓,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）",是 Yes,否 No,"非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,朋友 Friends,
2024年11月11日 下午03:41:12,否 No,No,否 No,否 No,否 No,否 No,0,20% - 49%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,非常不同意 Strongly disagree,同意 Agree,"肩負社會使命 Having a social mission, 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO)",是 Yes,否 No,任何人 Anyone,18-25 歳 18-25 years old,專上教育 (非學位／副學位課程) Higher education (Non-degree/Sub-degree programmes),$20000 以下 Below $20000,朋友 Friends,
2024年11月12日 上午06:31:45,是 Yes,協康會,是 Yes,否 No,是 Yes,是 Yes,⅓,20% - 49%,同意 Agree,不同意 Disagree,同意 Agree,非常同意 Strongly agree,同意 Agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,同意 Agree,非常不同意 Strongly disagree,同意 Agree,"肩負社會使命 Having a social mission, 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,任何人 Anyone,18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,朋友 Friends,
2024年11月12日 上午11:17:39,是 Yes,-,否 No,否 No,是 Yes,是 Yes,⅓,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,不同意 Disagree,不同意 Disagree,不同意 Disagree,同意 Agree,同意 Agree,不同意 Disagree,不同意 Disagree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）",是 Yes,是 Yes,"非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government, 慈善機構 Charity",18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午12:22:29,是 Yes,rainlily,否 No,否 No,否 No,是 Yes,0,20% - 49%,同意 Agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,不同意 Disagree,同意 Agree,非常同意 Strongly agree,同意 Agree,非常不同意 Strongly disagree,不同意 Disagree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,是 Yes,"非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午12:25:07,否 No,no idea,否 No,否 No,是 Yes,是 Yes,⅓,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 非政府組織 Non-Government Organization (NGO), 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,是 Yes,任何人 Anyone,18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午12:26:07,是 Yes,"greenprice, goodshop, green monday",否 No,否 No,是 Yes,是 Yes,⅓,50% - 79%,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",否 No,是 Yes,"任何人 Anyone, 政府 The Government, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,電子郵件 Email,
2024年11月13日 下午12:28:17,否 No,no,否 No,否 No,否 No,是 Yes,½,50% - 79%,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise",是 Yes,是 Yes,"任何人 Anyone, 非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午12:39:58,是 Yes,"companies that apply commercial strategies to maximize improvements in financial, social and environmental well-being",否 No,否 No,否 No,是 Yes,⅓,0% - 19%,非常不同意 Strongly disagree,同意 Agree,不同意 Disagree,非常同意 Strongly agree,同意 Agree,不同意 Disagree,同意 Agree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,不同意 Disagree,非常不同意 Strongly disagree,不同意 Disagree,肩負社會使命 Having a social mission,否 No,是 Yes,政府 The Government,18-25 歳 18-25 years old,小學畢業或以下 Graduating from primary school or below,$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午12:53:05,是 Yes,LUNNA naturals,否 No,否 No,是 Yes,是 Yes,⅓,50% - 79%,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）",是 Yes,否 No,"任何人 Anyone, 非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午03:51:37,是 Yes,Ikea,否 No,否 No,是 Yes,是 Yes,⅓,50% - 79%,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,"肩負社會使命 Having a social mission, 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,任何人 Anyone,18-25 歳 18-25 years old,專上教育 (非學位／副學位課程) Higher education (Non-degree/Sub-degree programmes),$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午04:13:26,是 Yes,救世軍,否 No,否 No,是 Yes,是 Yes,⅓,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,是 Yes,任何人 Anyone,18-25 歳 18-25 years old,專上教育 (非學位／副學位課程) Higher education (Non-degree/Sub-degree programmes),$20000 - $39999,朋友 Friends,
2024年11月13日 下午06:58:07,是 Yes,No,否 No,否 No,否 No,是 Yes,⅓,50% - 79%,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,不同意 Disagree,同意 Agree,不同意 Disagree,不同意 Disagree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,肩負社會使命 Having a social mission,是 Yes,否 No,"任何人 Anyone, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午09:09:19,否 No,not sure,否 No,否 No,是 Yes,是 Yes,⅔,20% - 49%,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",否 No,否 No,任何人 Anyone,18-25 歳 18-25 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,朋友 Friends,
2024年11月13日 下午10:09:10,否 No,No,否 No,否 No,否 No,否 No,⅓,20% - 49%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,同意 Agree,非常同意 Strongly agree,同意 Agree,同意 Agree,非常不同意 Strongly disagree,同意 Agree,"肩負社會使命 Having a social mission, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,是 Yes,任何人 Anyone,18-25 歳 18-25 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,朋友 Friends,
2024年11月14日 上午08:47:19,是 Yes,社會企業泛指使用不少於65%的可分發利潤再投資於本身業務的公司，以達到社會目的,否 No,是 Yes,是 Yes,是 Yes,0,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,任何人 Anyone,51-64 歳 51-64 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,朋友 Friends,
